Source_URL,Name,Phone_Number,Street,City,State,Website,Email
Source_URL,Name,Phone_Number,Street,City,State,Website
http://www.yelp.com/biz/mantel-wine-bar-and-bistro-oklahoma-city,Mantel Wine Bar & Bistro,(405) 236-8040,"201 E Sheridan Ave,Oklahoma City, OK 73104,Bricktown",,,themantelokc.com
http://www.yelp.com/biz/toby-keiths-i-love-this-bar-and-grill-oklahoma-city,Toby Keith’s I Love This Bar & Grill,(405) 231-0254,"310 Johnny Bench Dr,Oklahoma City, OK 73104,Bricktown",,,tobys.ehsrg.com
http://www.yelp.com/biz/knucks-wheelhouse-oklahoma-city,Knucks Wheelhouse,(405) 605-4422,"103 E California Ave,Oklahoma City, OK 73104,Bricktown",,,knuckswheelhouse.com
